,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
90,0.78,0.798,1,-4.853,1,0.041,0.292,1.91e-05,0.116,0.905,110.979,audio_features,1E6EOpzAkHbKAMZscImC41,spotify:track:1E6EOpzAkHbKAMZscImC41,https://api.spotify.com/v1/tracks/1E6EOpzAkHbKAMZscImC41,https://api.spotify.com/v1/audio-analysis/1E6EOpzAkHbKAMZscImC41,182587,4,Secret Combination
91,0.706,0.699,6,-12.515,0,0.0512,0.0501,1.07e-06,0.0692,0.753,127.953,audio_features,5devjcsxeVnwYQbaYJ2Ewx,spotify:track:5devjcsxeVnwYQbaYJ2Ewx,https://api.spotify.com/v1/tracks/5devjcsxeVnwYQbaYJ2Ewx,https://api.spotify.com/v1/audio-analysis/5devjcsxeVnwYQbaYJ2Ewx,178880,4,Shady Lady
92,0.747,0.967,5,-3.691,1,0.0561,0.133,2.54e-05,0.0831,0.874,115.021,audio_features,3SxMoYjub3X3q5hJm9ZPyM,spotify:track:3SxMoYjub3X3q5hJm9ZPyM,https://api.spotify.com/v1/tracks/3SxMoYjub3X3q5hJm9ZPyM,https://api.spotify.com/v1/audio-analysis/3SxMoYjub3X3q5hJm9ZPyM,183438,4,Dum tek tek
93,0.473,0.566,0,-7.023,0,0.0278,0.35,0.0,0.0697,0.226,84.0,audio_features,0WVmw3JD2FMQClBH9ZZGbf,spotify:track:0WVmw3JD2FMQClBH9ZZGbf,https://api.spotify.com/v1/tracks/0WVmw3JD2FMQClBH9ZZGbf,https://api.spotify.com/v1/audio-analysis/0WVmw3JD2FMQClBH9ZZGbf,197253,4,Is It True
94,0.576,0.785,2,-5.359,0,0.0295,0.62,4.26e-05,0.233,0.674,107.996,audio_features,2rzWSywjwzbysCmdOzssFR,spotify:track:2rzWSywjwzbysCmdOzssFR,https://api.spotify.com/v1/tracks/2rzWSywjwzbysCmdOzssFR,https://api.spotify.com/v1/audio-analysis/2rzWSywjwzbysCmdOzssFR,182640,4,Fairytale
95,0.659,0.767,6,-5.306,1,0.0279,0.277,0.0,0.0985,0.393,95.036,audio_features,0MWW8RAML03zc4gjZqcxmL,spotify:track:0MWW8RAML03zc4gjZqcxmL,https://api.spotify.com/v1/tracks/0MWW8RAML03zc4gjZqcxmL,https://api.spotify.com/v1/audio-analysis/0MWW8RAML03zc4gjZqcxmL,183373,4,In a Moment Like This
96,0.468,0.657,6,-4.338,1,0.0295,0.00957,1.03e-05,0.0776,0.228,147.965,audio_features,38hIyhovrQzznCiNjnG5LI,spotify:track:38hIyhovrQzznCiNjnG5LI,https://api.spotify.com/v1/tracks/38hIyhovrQzznCiNjnG5LI,https://api.spotify.com/v1/audio-analysis/38hIyhovrQzznCiNjnG5LI,222493,3,Drip Drop
97,0.883,0.676,4,-5.48,0,0.0888,0.0141,0.0474,0.0711,0.742,127.981,audio_features,6xikIOSCq3TW79lvVcBwaz,spotify:track:6xikIOSCq3TW79lvVcBwaz,https://api.spotify.com/v1/tracks/6xikIOSCq3TW79lvVcBwaz,https://api.spotify.com/v1/audio-analysis/6xikIOSCq3TW79lvVcBwaz,295251,4,Playing with Fire
98,0.557,0.681,9,-7.065,0,0.0266,0.0121,2.88e-05,0.138,0.415,111.955,audio_features,19BkfCQ8jcAlb33zf7jzVa,spotify:track:19BkfCQ8jcAlb33zf7jzVa,https://api.spotify.com/v1/tracks/19BkfCQ8jcAlb33zf7jzVa,https://api.spotify.com/v1/audio-analysis/19BkfCQ8jcAlb33zf7jzVa,228310,4,We Could Be the Same
99,0.68,0.857,11,-4.591,0,0.238,0.204,0.0,0.0414,0.924,94.928,audio_features,2UjNsh4ipNrmog6wdS2JVv,spotify:track:2UjNsh4ipNrmog6wdS2JVv,https://api.spotify.com/v1/tracks/2UjNsh4ipNrmog6wdS2JVv,https://api.spotify.com/v1/audio-analysis/2UjNsh4ipNrmog6wdS2JVv,175507,4,Satellite
100,0.535,0.963,9,-4.654,1,0.0966,0.000547,0.0,0.0525,0.489,125.019,audio_features,64WR5TPXZZ2wsWYA3enKfK,spotify:track:64WR5TPXZZ2wsWYA3enKfK,https://api.spotify.com/v1/tracks/64WR5TPXZZ2wsWYA3enKfK,https://api.spotify.com/v1/audio-analysis/64WR5TPXZZ2wsWYA3enKfK,180813,4,Popular
101,0.496,0.668,7,-6.276,1,0.0293,0.157,0.0,0.102,0.408,146.929,audio_features,0roS9EnPrJlnpdyBtcie8R,spotify:track:0roS9EnPrJlnpdyBtcie8R,https://api.spotify.com/v1/tracks/0roS9EnPrJlnpdyBtcie8R,https://api.spotify.com/v1/audio-analysis/0roS9EnPrJlnpdyBtcie8R,181774,4,New Tomorrow
102,0.285,0.33,10,-5.148,0,0.0343,0.798,2.42e-05,0.109,0.0933,73.897,audio_features,1ulbWiFaKvwdLzYOGOS7FC,spotify:track:1ulbWiFaKvwdLzYOGOS7FC,https://api.spotify.com/v1/tracks/1ulbWiFaKvwdLzYOGOS7FC,https://api.spotify.com/v1/audio-analysis/1ulbWiFaKvwdLzYOGOS7FC,254272,3,Suus
103,0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,audio_features,4Qh4H4KxrlvTjPA6sAJC07,spotify:track:4Qh4H4KxrlvTjPA6sAJC07,https://api.spotify.com/v1/tracks/4Qh4H4KxrlvTjPA6sAJC07,https://api.spotify.com/v1/audio-analysis/4Qh4H4KxrlvTjPA6sAJC07,181787,4,Euphoria
104,0.224,0.591,1,-4.425,0,0.0332,0.605,2.38e-05,0.433,0.303,184.842,audio_features,1w2jm6QteAq3qw9xAYSe2W,spotify:track:1w2jm6QteAq3qw9xAYSe2W,https://api.spotify.com/v1/tracks/1w2jm6QteAq3qw9xAYSe2W,https://api.spotify.com/v1/audio-analysis/1w2jm6QteAq3qw9xAYSe2W,179995,3,When the Music Dies
105,0.656,0.833,0,-5.016,1,0.0433,0.325,0.0,0.0955,0.551,110.989,audio_features,5bAAaO6LcmAHJZotglpEs0,spotify:track:5bAAaO6LcmAHJZotglpEs0,https://api.spotify.com/v1/tracks/5bAAaO6LcmAHJZotglpEs0,https://api.spotify.com/v1/audio-analysis/5bAAaO6LcmAHJZotglpEs0,184351,4,Only Teardrops
106,0.323,0.779,0,-3.808,1,0.0786,0.521,0.0,0.295,0.455,175.715,audio_features,0d3CHhMj2veGNsFJ8bpeT2,spotify:track:0d3CHhMj2veGNsFJ8bpeT2,https://api.spotify.com/v1/tracks/0d3CHhMj2veGNsFJ8bpeT2,https://api.spotify.com/v1/audio-analysis/0d3CHhMj2veGNsFJ8bpeT2,180042,4,Gravity
107,0.511,0.778,10,-3.605,0,0.0292,0.0123,0.0,0.184,0.359,89.998,audio_features,2Xfav1hvYvP7pBAumIQLxC,spotify:track:2Xfav1hvYvP7pBAumIQLxC,https://api.spotify.com/v1/tracks/2Xfav1hvYvP7pBAumIQLxC,https://api.spotify.com/v1/audio-analysis/2Xfav1hvYvP7pBAumIQLxC,174571,4,Hold Me
108,0.3,0.952,11,-4.418,0,0.453,0.004,0.000231,0.245,0.392,192.179,audio_features,24C9Klv9ddyg0TMs0DcCV3,spotify:track:24C9Klv9ddyg0TMs0DcCV3,https://api.spotify.com/v1/tracks/24C9Klv9ddyg0TMs0DcCV3,https://api.spotify.com/v1/audio-analysis/24C9Klv9ddyg0TMs0DcCV3,182573,4,I Feed You My Love
109,0.58,0.493,6,-3.53,1,0.0383,0.399,0.0,0.0829,0.256,121.904,audio_features,3XhlY1x0LcIyHpZJB1g6WS,spotify:track:3XhlY1x0LcIyHpZJB1g6WS,https://api.spotify.com/v1/tracks/3XhlY1x0LcIyHpZJB1g6WS,https://api.spotify.com/v1/audio-analysis/3XhlY1x0LcIyHpZJB1g6WS,187653,4,Undo
